stock_locate,tracking_number,timestamp,order_reference_number,executed_shares,match_number,printable,execution_price
5863,1,0 days 09:30:00.436756903,7472387,4050,106619,0,4800
5863,3,0 days 09:30:00.436756903,7245415,100,106621,0,4800
5863,4,0 days 09:30:00.436756903,7252115,500,106622,0,4800
5863,5,0 days 09:30:00.436756903,7325147,500,106623,0,4800
5863,6,0 days 09:30:00.436756903,7363515,100,106624,0,4800
3873,1,0 days 09:30:00.438758776,2868386,1610,106826,0,9800
89,1,0 days 09:30:00.439764029,7856053,98,107039,0,3303500
8670,1,0 days 09:30:00.441878722,9186784,500,107168,0,26500
591,2,0 days 09:30:00.444911422,7853065,374,107344,0,165500
6505,1,0 days 09:30:00.445292198,7507119,126,107364,0,624800
5968,1,0 days 09:30:00.445496979,7503883,134,107391,0,52400
6602,1,0 days 09:30:00.445668313,7505455,219,107397,0,466100
4173,1,0 days 09:30:00.447299084,5673342,19,107495,0,71200
4173,2,0 days 09:30:00.447299084,3595678,42,107496,0,71200
4173,3,0 days 09:30:00.447299084,3596598,44,107497,0,71200
4173,4,0 days 09:30:00.447299084,3599954,100,107498,0,71200
4173,5,0 days 09:30:00.447299084,3672126,16,107499,0,71200
4173,6,0 days 09:30:00.447299084,3672130,2,107500,0,71200
1640,1,0 days 09:30:00.447779075,7855721,182,107517,0,1505200
1640,2,0 days 09:30:00.447779075,7924153,21,107518,0,1505200
4744,1,0 days 09:30:00.451061749,7503323,169,107685,0,176100
4603,2,0 days 09:30:00.452193142,5672822,28,107748,0,1780200
5129,1,0 days 09:30:00.452880809,5591027,959,107781,0,34800
5129,2,0 days 09:30:00.452880809,6047747,148,107782,0,34800
5129,3,0 days 09:30:00.452880809,4977211,1,107783,0,34800
272,1,0 days 09:30:00.454074379,5278049,500,107841,0,103400
2881,1,0 days 09:30:00.457598333,5675034,438,108108,0,308300
5670,1,0 days 09:30:00.457786268,7505447,492,108115,0,336300
387,1,0 days 09:30:00.458474808,5528309,2,108172,0,8700
7815,1,0 days 09:30:00.461100131,9897256,16,108346,0,709000
2701,1,0 days 09:30:00.461355750,3709206,30,108370,0,95000
3545,1,0 days 09:30:00.462721444,5672062,352,108470,0,91000
4133,1,0 days 09:30:00.464307195,3728126,150,108588,0,163200
7680,2,0 days 09:30:00.465437409,9896000,269,108748,0,128600
4376,1,0 days 09:30:00.466696846,5671114,431,109067,0,63200
2524,1,0 days 09:30:00.467246972,5395198,900,109196,0,88800
